dt,main/temp,main/feels_like,main/temp_min,main/temp_max,main/pressure,main/sea_level,main/grnd_level,main/humidity,main/temp_kf,weather/0/id,weather/0/main,weather/0/description,weather/0/icon,clouds/all,wind/speed,wind/deg,wind/gust,visibility,pop,sys/pod,dt_txt,snow/3h
1743098400,234.73,227.73,234.73,235.3,989,989,978,100,-0.57,804,Clouds,overcast clouds,04d,93,2.18,60,2.12,10000,0,d,2025-03-27 18:00:00,
1743109200,234.2,227.2,234.07,234.2,990,990,979,100,0.13,804,Clouds,overcast clouds,04d,95,2.18,76,2.2,10000,0,d,2025-03-27 21:00:00,
1743120000,234.34,227.34,234.34,234.34,992,992,979,100,0,804,Clouds,overcast clouds,04n,98,2.12,92,2.1,4817,0,n,2025-03-28 00:00:00,
1743130800,244.06,237.06,244.06,244.06,992,992,980,97,0,804,Clouds,overcast clouds,04n,100,2.39,99,2.81,1033,0,n,2025-03-28 03:00:00,
1743141600,247.49,240.49,247.49,247.49,992,992,980,98,0,804,Clouds,overcast clouds,04n,100,2.97,119,3.6,538,0,n,2025-03-28 06:00:00,
1743152400,249.68,242.68,249.68,249.68,992,992,980,98,0,600,Snow,light snow,13n,100,3.78,131,5.1,483,0.2,n,2025-03-28 09:00:00,0.19
1743163200,251.69,244.69,251.69,251.69,992,992,980,99,0,600,Snow,light snow,13d,100,4.25,131,6.3,319,0.24,d,2025-03-28 12:00:00,0.25
1743174000,254.06,247.06,254.06,254.06,992,992,980,98,0,600,Snow,light snow,13d,100,4.42,127,6.42,274,0.56,d,2025-03-28 15:00:00,0.31
1743184800,256.02,249.02,256.02,256.02,991,991,980,97,0,600,Snow,light snow,13d,100,4.03,124,5.93,249,0.6,d,2025-03-28 18:00:00,0.38
1743195600,257.02,250.02,257.02,257.02,991,991,980,97,0,600,Snow,light snow,13d,100,3.84,124,5.5,230,0.88,d,2025-03-28 21:00:00,0.38
1743206400,258.3,251.3,258.3,258.3,991,991,980,96,0,600,Snow,light snow,13n,100,3.4,106,4.8,255,0.8,n,2025-03-29 00:00:00,0.38
1743217200,258.82,251.93,258.82,258.82,991,991,980,96,0,600,Snow,light snow,13n,100,3.4,100,5.1,265,0.92,n,2025-03-29 03:00:00,0.38
1743228000,259.12,252.16,259.12,259.12,991,991,980,96,0,600,Snow,light snow,13n,100,3.52,101,5.3,278,0.96,n,2025-03-29 06:00:00,0.38
1743238800,259.2,252.23,259.2,259.2,991,991,980,96,0,600,Snow,light snow,13n,100,3.54,101,5.2,279,1,n,2025-03-29 09:00:00,0.38
1743249600,259.28,252.42,259.28,259.28,991,991,980,96,0,600,Snow,light snow,13d,100,3.46,102,4.8,270,1,d,2025-03-29 12:00:00,0.31
1743260400,259.44,252.59,259.44,259.44,991,991,980,96,0,600,Snow,light snow,13d,100,3.48,107,4.85,342,0.52,d,2025-03-29 15:00:00,0.31
1743271200,258.98,251.98,258.98,258.98,991,991,980,96,0,600,Snow,light snow,13d,100,3.64,112,4.7,467,0.2,d,2025-03-29 18:00:00,0.25
1743282000,257.83,250.83,257.83,257.83,992,992,980,96,0,600,Snow,light snow,13d,100,3.94,121,5.1,425,0.2,d,2025-03-29 21:00:00,0.25
1743292800,256,249,256,256,992,992,980,97,0,600,Snow,light snow,13n,100,4.16,128,5.4,604,0.2,n,2025-03-30 00:00:00,0.19
1743303600,254.18,247.18,254.18,254.18,992,992,980,98,0,600,Snow,light snow,13n,100,4.62,136,6.12,692,0.2,n,2025-03-30 03:00:00,0.19
1743314400,252.96,245.96,252.96,252.96,991,991,980,97,0,600,Snow,light snow,13n,100,4.49,135,6.1,877,0.2,n,2025-03-30 06:00:00,0.13
1743325200,251.52,244.52,251.52,251.52,991,991,980,86,0,804,Clouds,overcast clouds,04n,100,4.75,133,6.8,6032,0,n,2025-03-30 09:00:00,
1743336000,250.25,243.25,250.25,250.25,991,991,979,80,0,804,Clouds,overcast clouds,04d,100,4.75,132,6.83,10000,0,d,2025-03-30 12:00:00,
1743346800,248.91,241.91,248.91,248.91,990,990,978,85,0,804,Clouds,overcast clouds,04d,100,4.7,139,6.92,10000,0,d,2025-03-30 15:00:00,
1743357600,247.37,240.37,247.37,247.37,990,990,978,86,0,804,Clouds,overcast clouds,04d,100,4.24,146,5.51,10000,0,d,2025-03-30 18:00:00,
1743368400,246.34,239.34,246.34,246.34,989,989,977,88,0,804,Clouds,overcast clouds,04n,99,3.67,148,4.4,10000,0,n,2025-03-30 21:00:00,
1743379200,247.24,240.24,247.24,247.24,989,989,977,94,0,804,Clouds,overcast clouds,04n,100,3.15,154,3.62,1913,0,n,2025-03-31 00:00:00,
1743390000,248.18,241.82,248.18,248.18,988,988,976,98,0,804,Clouds,overcast clouds,04n,100,1.91,161,2,670,0,n,2025-03-31 03:00:00,
1743400800,248.69,242.71,248.69,248.69,988,988,976,99,0,600,Snow,light snow,13n,100,1.79,229,2.01,684,0.2,n,2025-03-31 06:00:00,0.13
1743411600,248.15,241.15,248.15,248.15,988,988,977,98,0,804,Clouds,overcast clouds,04n,100,2.98,261,3.5,1137,0,n,2025-03-31 09:00:00,
1743422400,242.07,235.07,242.07,242.07,989,989,977,91,0,804,Clouds,overcast clouds,04d,96,4.15,275,4,10000,0,d,2025-03-31 12:00:00,
1743433200,239.26,232.26,239.26,239.26,990,990,977,81,0,802,Clouds,scattered clouds,03d,41,4.38,275,5.21,10000,0,d,2025-03-31 15:00:00,
1743444000,238.75,231.75,238.75,238.75,990,990,978,78,0,802,Clouds,scattered clouds,03d,27,4.35,272,4.6,10000,0,d,2025-03-31 18:00:00,
1743454800,235.36,228.36,235.36,235.36,992,992,979,80,0,800,Clear,clear sky,01n,6,3.1,257,3.02,10000,0,n,2025-03-31 21:00:00,
1743465600,231.47,224.47,231.47,231.47,994,994,981,86,0,800,Clear,clear sky,01n,6,3.17,250,3.12,10000,0,n,2025-04-01 00:00:00,
1743476400,230.65,223.65,230.65,230.65,995,995,983,87,0,802,Clouds,scattered clouds,03n,28,3.15,219,3.01,10000,0,n,2025-04-01 03:00:00,
1743487200,229.24,222.24,229.24,229.24,997,997,985,97,0,802,Clouds,scattered clouds,03n,46,2.28,186,2.2,10000,0,n,2025-04-01 06:00:00,
1743498000,230.21,223.21,230.21,230.21,998,998,986,91,0,803,Clouds,broken clouds,04n,71,2.09,214,2,10000,0,n,2025-04-01 09:00:00,
1743508800,230.07,223.07,230.07,230.07,1000,1000,987,91,0,802,Clouds,scattered clouds,03d,40,2.5,222,2.42,10000,0,d,2025-04-01 12:00:00,
1743519600,231.19,224.19,231.19,231.19,1000,1000,988,92,0,800,Clear,clear sky,01d,6,2.06,231,2,10000,0,d,2025-04-01 15:00:00,
